account,shares,pre_dai,post_dai
0x6D8e08e0124CA9bF0165a123e8C3e2b8648C92f7,"90,602.012271791900000000","100,573.517224238000000000","68,720.865152199500000000"
0x78e8D8F352eF3bF5c9c62ef75DCbF25e9f9F14B1,"90,477.136141298500000000","100,434.897437038000000000","68,626.147656316300000000"
0x35d978f5a6F03469C7955A27199524Ab5149bA96,"81,994.202984792300000000","91,018.346937379900000000","62,191.914123018900000000"
0x96107E5B992475D3862e7FaA5450d4dbF36E82Dc,"80,414.086172105400000000","89,264.325128235700000000","60,993.408795304600000000"
0x1AA52b5A49FF06273D97649f29d9adAa3F65a1a6,"76,029.814442354900000000","84,397.527832331900000000","57,667.975520964500000000"
0xd509724CBB4D65694D342E3B16358702078100A9,"74,133.896304076200000000","82,292.948135316900000000","56,229.937540865200000000"
0x90f5E889c5B4142fE0A8D62DBf92FB13C0687365,"72,618.155834986100000000","80,610.387821775400000000","55,080.261128937400000000"
0x07cb58C0A1D808fC44DC7860300B0cE8F829FB8e,"72,278.709467751600000000","80,233.582558782500000000","54,822.793911110700000000"
0x214aCF37809C6C3FEF0b146781E69993Ff828654,"70,578.801265758200000000","78,346.585321679800000000","53,533.427820985900000000"
0x532ea366ffED372dFf5384b5D684b860Afdff774,"70,384.377992426300000000","78,130.764150174500000000","53,385.959401531800000000"
0x4303c46c71f6E48Eaa96aB3F194b79fac082E46A,"68,554.310422676500000000","76,099.282424408700000000","51,997.868524444900000000"
0x7d38DCbea7f5299e16593F766Aff9b4e8021149B,"65,440.455581321100000000","72,642.721961034400000000","49,636.035787061700000000"
0x1D960ce061A598d6562555127D0db60c35aA20F1,"63,962.437750354500000000","71,002.035975666500000000","48,514.971679239200000000"
0x89f91dea84a54eE0541b46F6C0AbE6D30DB34D31,"62,782.678479070500000000","69,692.434384975700000000","47,620.134183238000000000"
0x4743849bd5d9E5CE61fB94Cd468E1876924806Bd,"62,448.792112599100000000","69,321.801047070100000000","47,366.884179279900000000"
0x46184D70a1804BB1a425848BB8141870b2575Cb2,"61,432.931176949100000000","68,194.136166928900000000","46,596.362193931800000000"
0xf65c8b5815200f5A8d3ab588eebA135BcFA00219,"61,104.128153077600000000","67,829.145635752600000000","46,346.967862630100000000"
0x5BB8dC0c4bA02eF91335A7007f5a8cB0e7bB0443,"60,133.777764750500000000","66,752.000117160700000000","45,610.965245088100000000"
